Title_orig;Title_cz;Title_sk;Country;Genre;Released;Length;Description;Expanses;Earnings;Age_restriction;Images;Trailer;Price;Link
Django Unchained;Nespoutaný Django;Divoký Django;USA;Western / Dobrodružný / Dráma;2012;165;"Dej sa odohráva dva roky pred americkou občianskou vojnou Severu proti Juhu. V hlavnej úlohe s Jamie Foxxom ako Úspech misie vedie Schultza k oslobedeniu Djanga, ale aj napriek tomu sa ich cesty nerozídu, pomáha mu vyslobodiť z Úspech misie vedie Schultza k oslobedeniu Djanga, ale aj napriek tomu sa ich cesty nerozídu, pomáha mu vyslobodiť z otroctva i Djangovu ženu Broomhildu (Kerry Washington). Tá je však v zajatí bezohľadného plantážnika Calvina Candieho (Leonardo DiCaprio), majiteľa klubu, kde otrokyne ponúkajú ako sexuálne objekty a otrokov ako gladiátorov, ktorých pripravuje ""cvičiteľ"" otrokov Ace Woody (Kurt Russell). Django a Schultz v utajení vzbudzujú podozrenie u Stephena (Samuel L. Jackson), Candieho dôverného sluhu a ich zámer sa prezradí. Aby sa Djangovi a Schultzovi podarilo uniknúť s Broomhildou, musia si zvoliť medzi nezávislosťou a solidaritou, a medzi obetou a prežitím.otroctva i Djangovu ženu Broomhildu (Kerry Washington). Tá je však v zajatí bezohľadného plantážnika Calvina Candieho (Leonardo DiCaprio), majiteľa klubu, kde otrokyne ponúkajú ako sexuálne objekty a otrokov ako gladiátorov, ktorých pripravuje ""cvičiteľ"" otrokov Ace Woody (Kurt Russell). Django a Schultz v utajení vzbudzujú podozrenie u Stephena (Samuel L. Jackson), Candieho dôverného sluhu a ich zámer sa prezradí. Aby sa Djangovi a Schultzovi podarilo uniknúť s Broomhildou, musia si zvoliť medzi nezávislosťou a solidaritou, a medzi obetou a prežitím.otrokom Djangom, ktorý sa pod vplyvom doktora Schultza, nemeckého lovca ľudí v podaní Christophera Waltza, sám stane krutým lovcom ľudí za odmenu. Schultz je na stope vražedným bratom Brittlovcom, ku ktorým ho môže priviesť jedine Django. Neortodoxný Schultz získava Djanga s prísľubom vyslobodenia ho zo služieb bratov - či už mŕtvých alebo živých.";;;;;;;
Forrest Gump;Forrest Gump;Forrest Gump;USA;Drama / Komedie / Romantický;1994;142;"Poněkud prostoduchý Forrest Gump, vyzbrojen užitečnými radami své matky, se vydává na pouť životem, který mu připraví nejedno překvapení. Mnoho hořkých, ale také nádherných chvil...
Mladý muž jménem Forrest Gump sedí na zastávce autobusu a každému, kdo si přisedne, vypráví o svém životě. Poněkud jednoduchý chlapec se narodil v Alabamě, kde žil jen s matkou, která mu dala mnoho dobrých rad do života. Především tu, aby si nikdy nenechal od nikoho namluvit, že je jiný než ostatní. Dostala ho dokonce i do normální školy, přestože jí doporučovali zvláštní, vzhledem k jeho nízkému IQ. Forrest, terč zlomyslných vtípků a krutých žertů svých kamarádů, si tam najde přítelkyni na celý život: Jenny je půvabná blonďatá holčička, kterou zneužívá otec, a tak ji dají do výchovy babičce. Oba se stanou nerozlučnými přáteli. Jenny Forrestovi dá další cennou radu do života: když budeš mít problém, utíkej. A tak Forrest proutíká školou, pak i střední školou a nakonec vysokou, kde se osvědčí jako nejrychlejší hráč amerického fotbalu. Po svém prožívá i velké události v amerických dějinách, třeba přijetí dvou prvních černých studentů na univerzitu nebo setkání s prezidentem Kennedym... Forrest se na vše dívá svýma naivníma očima, aniž by věci zvažoval do důsledků. Řídí se upřímným citem, jako když stále a opakovaně „zachraňuje“ Jenny, jakmile se mu zdá, že jí někdo ubližuje. Když získá diplom, dá se naverbovat do armády. Doslechne se, že Jenny vyhodili ze školy kvůli nestoudným fotkám a že se pokouší v Memphisu prosadit jako zpěvačka. Navštíví ji a znovu nešikovně „zachraňuje“. Pak je poslán do Vietnamu. Ani hrůzy války tak docela nechápe, i když se při jednom útoku projde dokonalým peklem. Je zabit jeho zatím jediný přítel, černoch Bubba. Forrest, kterého chtěl Bubba přibrat jako partnera do své firmy, je zdrcený. Přesto zachrání několik dalších vojáků včetně poručíka Dana Taylora, který mu ale není pranic vděčný: jakožto člen rodiny, v níž celé generace mužů umíraly ve válkách, si přeje zemřít po boku svých mužů. A on navíc přijde o obě nohy. Zraněn je ale i Forrest a vrací se domů. Ještě ve Vietnamu v nemocnici se mu vrátí dopisy, které pravidelně psal Jenny a jejichž adresátka nebyla zastižena... Po návratu domů mu prezident Johnson udělí medaili a při prohlídce Washingtonu se přimíchá do davu protestujících proti válce. Je vyzván, aby pohovořil o Vietnamu, nejde ale zvuk. Přesto ho tisícihlavý dav zdraví jako hrdinu. Mezi přihlížejícími je i Jenny, nyní horlivá aktivistka protiválečného hnutí Černí panteři. Shledání Forresta s jeho velkou a jedinou láskou je dojemné. Prochodí spolu celou noc a povídají si. Forrest nechce, aby Jenny opět odjela, ale ta se chystá do Kalifornie. Forrest zůstává zase sám.";;;;;;;
Rain Man;Rain Man;Rain Man;USA;Drama / Road movie;1988;133;Charley je podvodníček a profesionální hráč. Právě zjistí, že jeho otec, který ho jako teenagera vyhodil z domu, zemřel. V souvislosti s dědictvím se Charles dozvídá, že má bratra Raymonda, který je jako autista umístěn v ústavu. Raymond má ale geniální matematické schopnosti, dokáže z hlavy řešit a zapamatovat si i ty nejsložitější matematické příklady i kombinace. Jejich otec zanechal svůj majetek Raymondovi, který ovšem nemá ponětí o penězích a neví, jak s nimi nakládat. Charles se rozhodne svého bratra vyhledat, aby majetek získal. Přitom si uvědomí, jaké možnosti skýtají Raymondovy schopnosti v jeho „oboru“ a rozhodne se vzít bratra s sebou na „dlouhý výlet“. Zatím však nemá potuchy o tom, jak s autistickým člověkem zacházet… Kvůli roli autistického Raymonda strávil Dustin Hoffman (Malý velký muž, Tootsie, Motýlek, Kdo je Harry Kellerman, Kramerová versus Kramer) téměř rok v léčebnách, kde studoval chování autistických pacientů. Jeho bratra Charlese si zahrál Tom Cruise (Top Gun, Interview s upírem, Narozen 4. července, Firma).;;;;;;;
Inception;Počátek;Počiatok;USA;Akční / Sci-Fi / Thriller / Mysteriózní / Dobrodružný;2010;148;Dom Cobb (Leonardo DiCaprio) je velmi zkušený zloděj a jeho největší mistrovství je v krádeži nejcennějších tajemství. Ovšem není to jen tak obyčejný zloděj. Dom krade myšlenky z lidského podvědomí v době, kdy lidská mysl je nejzranitelnější – když člověk spí. Cobbova nevšední dovednost z něj dělá nejen velmi vyhledávaného experta, ale také ohroženého uprchlíka. Musel obětovat vše, co kdy miloval. Nyní se mu však nabízí šance na vykoupení. Může získat zpět svůj život. Tato poslední zakázka je nejen velmi riskantní, ale zdá se, že i nemožná. Tentokrát nemá za úkol myšlenku ukrást, ale naopak ji zasadit do něčí mysli. Pokud uspěje, bude to dokonalý zločin.;;;;;;;
Gladiator;Gladiátor;Gladiátor;USA / Velká Británie;Akční / Dobrodružný / Drama;2000;155;Příběh římského generála Maxima začíná v zimě roku 180, kdy v čele římských legií zvítězil nad germánskými kmeny. Po bitvě dorazí do ležení císař Marcus Aurelius se svými dětmi, slabošským synem Commodem a dcerou Lucillou, která byla kdysi Maximovou milenkou. Věčnými boji unavený císař požádá Maxima, aby se po jeho smrti stal protektorem Říma. Generál to však odmítne. Když se Commodus dozví, že ho otec nehodlá jmenovat svým nástupcem, zákeřně ho usmrtí a zmocní se vlády. Maximus se novému vládci odmítne podrobit a je zatčen. Podaří se mu uprchnout a spěchá domů. Svůj dům najde vypálený a manželku i syna zavražděné. Vyčerpán žalem i zraněním omdlí a probere se v zajetí otrokářské karavany. Je pak prodán bývalému gladiátorovi Proximovi. Společně s černým otrokem Jubou projde gladiátorským výcvikem a dostane přezdívku Španěl. Commodus se vrací do Říma a chce rozpustit senát. K tomu však potřebuje získat na svou stranu lid. Rozhodne se proto uspořádat velkolepé gladiátorské hry, kam přijíždí i Proximovi gladiátoři.;;;;;;;
Bohemian Rhapsody;Bohemian Rhapsody;Bohemian Rhapsody;Velká Británie;Životopisný / Drama / Hudební;2018;134;Film Bohemian Rhapsody je oslavou rockové skupiny Queen, jejich hudby a především Freddieho Mercuryho, který svou tvorbou i životem vzdoroval všem myslitelným stereotypům, díky čemuž se stal jedním z nejvýraznějších umělců na světě. Snímek mapuje raketový vzestup nekonvenční skupiny prostřednictvím jejich revolučního zvuku a ikonických písní, jako jsou „We Will Rock You“, „We Are the Champions“ nebo právě „Bohemian Rhapsody“. Jejich příběh začíná bleskovým startem, pokračuje neřízenou životní spirálou a vrcholí nezapomenutelným, strhujícím vystoupením na koncertu Live Aid v roce 1985. Na jeho pódiu Queen v čele se rtuťovitým Freddiem předvedli jednu z největších show v historii rocku. Jejich hudba byla a stále je ohromnou inspirací pro celý svět.;;;;;;;
Cast Away;Trosečník;Stroskotanec;USA;Dobrodružný / Drama;2000;143;Pečlivý a energický Chuck Noland je zaměstnán u známé společnosti FedEx, která rozváží poštu po celém světě. Díky tomu žije velmi rychle. Jeden den je v Rusku, vzápětí pár hodin stráví ve Francii. Pro samý spěch si vlastně ani nedokáže užívat života. Práce Chucka okrádá o tolik času, že si se svojí důvěrnou přítelkyní Kelly dokonce předává vánoční dárky v autě na letišti. Když za několik hodin opět letí z Ruska zpět do Ameriky, letadlo FedExu s piloty a Chuckem nečekaně havaruje. Katastrofu a pád do moře přežije pouze Chuck, kterému se s malým člunem podaří dostat na neznámý ostrůvek. Po prvním šoku začíná po vzoru Robinsona Crusoa na stromě odškrtávat dny, při životě ho drží láska ke Kelly a naděje, že ho v krátké době někdo objeví… Dobrodružně laděný příběh o nezdolné lidské vůli nevzdávat se a bojovat o svůj život a své sny – natočil úspěšný hollywoodský režisér Robert Zemeckis (Návrat do budoucnosti I-III, Forrest Gump, Pod povrchem). Přípravy na filmový projekt začaly už někdy v roce 1998, kdy Tom Hanks o napsání scénáře k tomuto projektu požádal Williama Broylese Jr. (scenáristu Apolla 13 a Forresta Gumpa). Při jeho filmové realizaci pak musel podstoupit drastickou dietu a v průběhu přerušeného natáčení, za několik měsíců zhubnul o dvacet kilo. Tím působivěji pak předvedl proměnu z výkonného workoholika na polodivokého trosečníka se sklony k šílenství. S jeho skvělým hereckým výkonem film stojí i padá. Za ztvárnění Chucka byl Tom Hanks v roce 2000 oceněn Cenou kruhu newyorských filmových kritiků (nejlepší herec) a Zlatým glóbem (nejlepší herec v dramatu). Úlohu jeho přítelkyně Kelly Frearsové vytvořila Helen Huntová (Dr. T a jeho ženy, Lepší už to nebude, Po čem ženy touží).;;;;;;;
Interstellar;Interstellar;Interstellar;USA;Sci-Fi / Dobrodružný / Drama;2014;169;Když se náš čas na Zemi chýlí ke konci, je skupina výzkumníků pověřena nejdůležitějším posláním v lidských dějinách: cestou za hranice naší galaxie, při které má za úkol najít mezi hvězdami pro lidstvo nový domov.;;;;;;;
Babylon;Babylon;Babylon;USA;Drama;2022;189;Damien Chazelle nakrútil film Babylon o vzostupoch aj pádoch hrdinov filmárskeho šialenstva v dekadentnom Hollywoode dvadsiatych rokov minulého storočia. Nemé filmy ustupujú zvukovým a ich herci aj tvorcovia sa tomu snažia prispôsobiť. Nie všetkým táto zmena vyhovuje..;;;;;;;
Love Actually;Láska nebeská;;Velká Británie / USA / Francie;Komedie / Drama / Romantický;2003;135;Láska nebeská s vtipem odhaluje citová vzplanutí i chladnutí v období vánočních svátků. Milenci a milenky, manželé a manželky, tátové a synové, rockové hvězdy a jejich manažeři, ti všichni prožívají ne jednu Lásku nebeskou, ale hned deset jejích různých podob.;;;;https://www.film-game.cz/laska-nebeska-blu-ray--0931143.html#image-3;;;
Edge of tomorrow;Na hraně zítřka;Na hrane zajtrajška;USA / Kanada;Sci-Fi / Dobrodružný / Akční;2014;108;Příběh se odehrává v blízké budoucnosti. Mimikové, mimozemská rasa připomínající včelí kolonii, vytrvale útočí na Zemi, obracejí velká města v hromadu trosek a zanechávají za sebou miliony lidských obětí. Podplukovník Bill Cage (Tom Cruise), který nikdy nebyl v žádné bitvě, je bez cirátů degradován a s nulovým výcvikem a mizernou výzbrojí poslán splnit úkol, který není ničím jiným než sebevražednou misí. Během několika minut je zabit, předtím se mu však podaří zneškodnit Alphu. Ač se to zdá nemožné, procitne opět na začátku toho samého pekelného dne a je nucen znovu bojovat a zemřít... a tak stále dokola. Přímý fyzický kontakt s mimozemšťanem způsobil, že se dostal do časové smyčky a je tak odsouzen prožívat nelítostnou bitvu znovu a znovu. S každým dalším pokusem se však zvyšuje jeho odolnost a pohotovost a své rostoucí schopnosti dokáže v boji s Mimiky lépe využívat. Po jeho boku bojuje členka speciálních jednotek Rita Vrataski (Emily Blunt), která zlikvidovala víc Mimiků než kterýkoliv jiný bojovník na Zemi. Každá další bitva je pro Cagea a Ritu příležitostí najít způsob, jak mimozemské vetřelce porazit a Zemi zachránit.;;$370.5 million;12+;https://www.csfd.cz/film/307556-na-hrane-zitrka/galerie/;;;
Top Gun: Maverick;Top Gun: Maverick;Top Gun: Maverick;USA;Akční / Drama;2022;131;Pete „Maverick“ Mitchell (Tom Cruise) k smrti rád pilotuje stíhačky. Dokonce tak, že se už přes třicet let úspěšně brání povýšení ve strukturách amerického letectva, protože to by ho z kokpitu vyhnalo do vyhřáté kanceláře. Maverick byl navíc vždycky magnetem na průšvihy, což se s armádní kariérou taky docela vylučuje. Pilot je ovšem bravurní, možná ten úplně nejlepší, a proto dostane nabídku stát se instruktorem elitních stíhačů z programu Top Gun, které má připravit na úkol, jenž spadá do kategorie Mission Imposssible. Kromě téhle bude muset Maverick zvládnout i jednu obtížnou soukromou misi. Jedním z pilotů, které má připravit do akce, je i Bradley Bradshaw (Miles Teller), syn jeho kamaráda a navigátora Goose. Znalci prvního Top Gunu vědí, že Goose zahynul, když se neúspěšně katapultoval z neovladatelné stíhačky, pilotované právě Maverickem. A jeho syn mu otcovu smrt klade za vinu. Maverick za žádnou cenu nechce, aby Bradleyho potkal stejný osud jako jeho otce. Přitom si uvědomuje, že pravděpodobnost, že některý z pilotů plánovanou leteckou operaci nepřežije, není vůbec malá;;$1.489 billion;None;https://www.csfd.cz/film/286035-top-gun-maverick/galerie/;https://www.csfd.cz/film/286035-top-gun-maverick/prehled/;;
The Whale;Velryba;Veľryba;USA;Drama;2022;117;Lidé jsou úžasní. Tento nakažlivý optimismus je superschopností Charlieho. Vidí v lidech jen dobro a v nás tak probouzí empatii. Téměř tří set kilový osamělý učitel, ztvárněný miláčkem publika Brendanem Fraserem, se snaží najít cestu zpět ke své dceři Ellie (Sadie Sink). Pod tíhou vlastních traumat se jen složitě vyrovnává s minulostí, uzavřel se ve svém bytě, stresové situace řeší přejídáním, ale na půdorysu svého třípokojového bytu je majákem dobra pro sebe i své okolí;;$13.9 million;12+;https://www.csfd.cz/film/969361-velryba/galerie/;https://www.csfd.cz/film/969361-velryba/prehled/;;
Vyšehrad : Fylm;Vyšehrad: Fylm;Vyšehrad: Fylm;CZ;Komedie / Sportovní;2022;105;"Od chvíle, kdy jsme Julia Lavického (Jakub Štáfek) viděli naposledy (ano, bylo to tehdy, když „prodal"" zápas, ale zapomněl na to, a dal krásný gól), uběhl více než rok. Lavi je, jak by řekl jeho agent Jarda (Jakub Prachař), pořád stejný dement, ale začalo se mu konečně dařit. A to jak ve fotbalovém, tak v osobním životě. S Vyšehradem postoupil do druhé ligy, kde vede tabulku střelců, opět po něm pokukují zámožnější kluby, dokonce požádal o ruku svou přítelkyni Lucii (Šárka Vaculíková), sestru Jardy... Na svatbě, která stála majlant, ale zjistí, že má už osmiletého syna, což novomanželku rozhodně nepotěší. Nedostatek financí se rozhodne řešit půjčkou od ne zrovna čestné party, zároveň se snaží nepřijít o manželku hned ve svatební den, postarat se o dítě, což je mu na hony vzdálené, dostat se z Vyšehradu někam výš, nebo se poprat s praktikami jistého fotbalového Taťky... Prostě už zase se řítí jak lavina – z jednoho problému do druhého!";;104,278,232 CZK;15+;https://www.csfd.cz/film/912147-vysehrad-fylm/galerie/;https://www.csfd.cz/film/912147-vysehrad-fylm/prehled/;;
Requiem for a Dream;Rekviem za sen;Requiem za sen;USA;Drama;2000;102;Ovdovělá Sara Goldfarbová žije na Coney Island a snadno podléhá mámení televizních pořadů. Právě teď drží dietu, aby se mohla účastnit jedné ze show. Její milý ale bezmocný syn Harry má novou přítelkyni Marion a společně se snaží čelit bolestné realitě útěkem do snů. Ani Harryho nejlepší přítel Tyrone, který se živí prodejem drog, nemá snadný život. A tak se čtveřice lidí, jimž osud nepřál štěstí, točí v bludném kruhu bezmoci a beznaděje.;;$7.4 million;15+;https://www.csfd.cz/film/14317-requiem-za-sen/galerie/;https://www.csfd.cz/film/14317-requiem-za-sen/prehled/;;
Harry Potter and the Goblet of Fire;Harry Potter a Ohnivý pohár;Harry Potter a Ohnivá čaša;USA;Fantasy / Rodinný / Dobrodružný;2005;157;Harryho Pottera (Daniel Radcliffe) už istý čas prenasledujú nočné mory, vďaka ktorým ho jeho jazva bolí viac ako inokedy. Pred znepokojivými snami sa pokúša uniknúť tak, že so svojimi priateľmi Ronom Weasleym (Rupert Grint) a Hermionou Grangerovou (Emma Watson) navštívi majstrovstvá sveta v metlobale. Oblohu nad skandujúcimi fanúšikmi však rozžiari Temné znamenie - zlovestný úkaz, ktorý je akýmsi podpisom Lorda Voldemorta (Ralph Fiennes). Vyčarovali ho Smrťožrúti - jeho prívrženci -, ktorí sa vyhýbajú verejnosti už od Voldemortovho zmiznutia pred trinástimi rokmi. Vtedy zavraždil Harryho rodičov... Harry túži po návrate za bezpečné steny školy v Rokforte, kde ho môže ochrániť profesor Dumbledore (Michael Gambon). Teraz bude ale všetko trošku inak. Dumbledore totiž oznamuje, že Rokfortská stredná škola čarodejnícka bude práve tento rok organizovať prestížny Trojčarodejnícky turnaj - jednu z najpozoruhodnejších a najriskantnejších súťaží čarodejníckeho sveta! Každá z troch najväčších a najvychýrenejších čarodejníckych škôl si vyberie jedného šampióna, ktorý bude plniť nebezpečné úlohy a bude sa snažiť získať cenný Trojčarodejnícky pohár. Študenti Rokfortu užasnuto sledujú, ako do Veľkej siene prichádzajú pôvabné dievčatá z Beauxbatonskej akadémie a mocní chlapci zo školy v Durmstrangu - a bez dychu čakajú na výber svojich šampiónov...;;;13+;https://www.csfd.sk/film/42949-harry-potter-a-ohniva-casa/galeria/plagaty/;https://video.pmgstatic.com/files/videos/000/309/309834/157709261_63737e.mp4;;https://www.csfd.sk/film/42949-harry-potter-a-ohniva-casa/galeria/plagaty/
