Title_orig;Title_cz;Title_sk;Country;Genre;Released;Length;Description;Expanses;Earnings;Age_restriction;Images;Trailer;Price;Link
Harry Potter and the Order of the Phoenix;Harry Potter a Fénixův řád;Harry Potter a Fénixov rád;USA;Fantasy / Rodinný / Dobrodružný;2007;138;Harry Potter (Daniel Radcliffe) sa vracia do Rokfortu, aby nastúpil do piateho ročníka školy čarov a kúziel. Tam však zistí, že väčšina členov kúzelníckej komunity verí, že jeho nedávne stretnutie s Lordom Voldemortom (Ralph Fiennes) je obyčajný výmysel, čím je zásadne spochybnená Harryho dôveryhodnosť. Ba čo horšie, minister kúziel Kornelius Fudge (Robert Hardy) opäť vymenoval nového učiteľa obrany proti čiernej mágii. V lekciách podozrivej profesorky Umbridgeovej (Imelda Staunton) sa však mladí čarodejníci nič zásadné nenaučia, a preto nemajú dostatok vedomostí k boju s temnými silami, ktoré sa okolo nich sťahujú. Na Hermioninu (Emma Watson) a Ronovu (Rupert Grint) výzvu sa Harry rozhodne vziať chod vecí do svojich rúk. Tajne sa začne schádzať s malou skupinou študentov, ktorí sa hrdo nazvali Dumbledorova armáda, a učí ich, ako sa ubrániť čiernej mágii. Hoci je sám ešte len študent, pripravuje odvážnych mladých čarodejníkov na nebezpečnú bitku, ktorá čoskoro prepukne.;;;12+;https://www.csfd.sk/film/197182-harry-potter-a-fenixov-rad/;https://video.pmgstatic.com/files/videos/000/306/306613/157703323_5dc380.mp4;;https://www.csfd.sk/film/197182-harry-potter-a-fenixov-rad/
Harry Potter and the Philosopher's Stone; Harry Potter a Kámen mudrců;Harry Potter a Kameň mudrcov;USA;Fantasy / Rodinný / Dobrodružný;2001;152;Harry Potter je sirota a žije u svojich jediných príbuzných, Dursleyovcov. Tí sa o neho starajú naozaj len z povinnosti a najradšej by boli, keby mohol ísť Harry preč. Ich želanie sa naplní, keď malý Harry dovŕši 11 rokov. To je vek, kedy sa začína povinná školská dochádzka na Rokfortskej strednej škole čarodejníckej - Harrymu začnú chodiť listy, ktoré však jeho strýko s tetou ignorujú, navštívi ho sympatický polobor Hagrid, a na jeho odporúčanie sa dostane do Rokfortu, kde spolu so svojimi dvoma novými kamarátmi Ronom Weasleym a Hermionou Grangerovou zažíva najväčšie dobrodružstvá svojho života.;;;12+;https://www.csfd.sk/film/1626-harry-potter-a-kamen-mudrcov/;https://video.pmgstatic.com/files/videos/000/307/307631/157705205_d35e87.mp4;;https://www.csfd.sk/film/1626-harry-potter-a-kamen-mudrcov/
Harry Potter and the Half-Blood Prince; Harry Potter a Princ dvojí krve;Harry Potter a Polovičný princ;USA;Fantasy / Rodinný / Dobrodružný;2009;147;Návrat Lorda Voldemorta zapríčiní vo svete kúzelníkov spúšť. Harry (Daniel Radcliffe) má podozrenie, že nebezpečenstvo číha priamo v Bradaviciach, ale Dumbledor (Michael Gambon) sa sústredí na prípravu poslednej bitky, ktorá sa blíži. Potrebuje, aby mu Harry pomohol rozlúsknuť dôležitý kľúč, ktorý vedie k rozuzleniu Voldemortovej obrany. Rozhodujúcu informáciu však pozná iba bývalý profesor Horác Kriklan. Medzitým útočí na študentov ešte úplne iný nepriateľ – ich tínedžerské hormóny. Harryho dlhodobé priateľstvo s Ginnou Weaslyovou (Bonnie Wright) prerastá v hlbší cit, ale v ceste stojí jej priateľ, Dean Thomas, nehovoriac o jej veľkom bratovi Ronovi (Rupert Grint). Lenže Ron má svojich starostí dosť s romantickými pletkami – Lavender Brownová nešetrí svojou láskou k nemu a Hermiona (Emma Watson) v ústraní žiarli, ale je rozhodnutá neprejaviť svoje city za žiadnu cenu. A k tomu všetkému ešte čokolády napustené nápojom lásky, ktoré skončia v nesprávnych rukách a všetko úplne zmenia.;;;12+;https://www.csfd.sk/film/224184-harry-potter-a-polovicny-princ/;https://video.pmgstatic.com/files/videos/000/307/307631/157705205_d35e87.mp4;;https://www.csfd.sk/film/224184-harry-potter-a-polovicny-princ/
Harry Potter and the Deathly Hallows: Part 1;Harry Potter a Relikvie smrti - část 1;Harry Potter a Dary smrti - 1.;USA;Fantasy / Rodinný / Dobrodružný;2010;140;Harry Potter a Dary smrti je siedmym a posledným pokračovaním dobrodružstiev Harryho Pottera, ktoré je očakávanou udalosťou a bude rozdelené do dvoch celovečerných filmov. Prvá časť začína, keď sa Harry (Daniel Radcliffe), Ron (Rupert Grint) a Hermiona (Emma Watson) vydávajú na nebezpečnú misiu, ktorej cieľom je nájsť a zničiť tajomstvo Voldemortovej nesmrteľnosti. Spoliehať sa musia len sami na seba, a to viac, ako kedykoľvek predtým, pretože im už profesori nepomôžu a budú tiež bez ochrany profesora Dumbledora. Navyše sú medzi nimi temné sily, ktoré sa ich snažia rozdeliť. Medzitým sa čarodejnícky svet stáva nebezpečným miestom pre všetkých nepriateľov Pána zla. Dlho obávaná vojna so zlom začala, Voldemortovi smrťožrúti kontrolujú ministerstvo kúziel i Bradavice a terorizujú a zatýkajú všetkých, ktorí by sa im chceli postaviť. To najcennejšie, čo Voldemort chce, ale stále nemá je Harry Potter. Vyvolený sa stal loveným. Smrťožrúti hľadajú Harryho všade, aby ho podľa príkazu Voldemorta priviedli živého. Harryho jedinou nádejou je, že nájde horcruxy skôr, než Voldemort nájde jeho. Pri hľadaní stôp objavuje starý a takmer zabudnutý príbeh - legendu o daroch smrti. A ak je legenda pravdivá, mohol by Voldemort získať neobmedzenú moc a silu, po ktorej túži. (TV Markíza);;;12+;https://www.csfd.sk/film/230063-harry-potter-a-dary-smrti-1/;https://video.pmgstatic.com/files/videos/000/311/311657/157712661_af683f.mp4;;https://www.csfd.sk/film/230063-harry-potter-a-dary-smrti-1/
Harry Potter and the Prisoner of Azkaban;Harry Potter a vězeň z Azkabanu;Harry Potter a väzeň z Azkabanu;Velká Británie / USA;Fantasy / Rodinný / Dobrodružný / Mysteriózní;2004;141;Třetí školní rok nezačíná pro Harryho nejlépe. Nejprve poruší zákaz kouzlení mimo školu, když se nechá vyprovokovat urážkami strýcovy sestry Marge na adresu svých rodičů. Když pak odejde od Dursleyových a záchranným autobusem se dopraví do hostince Děravý kotel, setká se sice s Hermionou a Ronem, také se však dozví, že z azkabanského vězení uprchl nebezpečný Sirius Black a že to má něco společného s ním. Co, to mu však nikdo nechce říci. Nakonec se málem stane obětí azkabanských strážců mozkomorů, kteří prohledávají bradavický vlak. Zachrání ho muž podřimující v kupé, který se představí jako profesor Lupin. Jak se ukáže, je novým učitelem obrany proti černé magii. Další změnou je jmenování Hagrida učitelem péče o kouzelné tvory. Školní rok probíhá v napjaté atmosféře, protože kolem školy krouží mozkomoři, kteří ji mají chránit a pátrat po Blackovi. Po značných komplikacích Harry zjistí, že Black byl přítelem jeho rodičů a je jeho kmotr, údajně to však byl on, kdo jeho rodiče vydal Voldemortovi a zabil kouzelníka Petera Petigrewa, který se je pokusil chránit. Situace se dramaticky vyhrotí, když se velký černý pes zmocní Rona a odvleče ho tajnou chodbou do Chroptící chýše. Když se však Harrymu a Herminoně podaří proniknout za nimi, čeká je nejedno šokující překvapení.;;;;;;;
Harry Potter and the Deathly Hallows: Part 2;Harry Potter a Relikvie smrti - část 2;Harry Potter a Dary smrti - 2.;Velká Británie / USA;Dobrodružný / Drama / Rodinný / Fantasy;2011;125;Potterovská fantasy sága se uzavírá, tímto dílem nelítostný zápas dobra se zlem vrcholí. Trojice věrných kamarádů - Harry, Hermiona a Ron - plní úkol, který po zásahu smrtící kletbou nemohl splnit moudrý Albus Brumbál. Na trojlístek hrdinů číhají nebezpečné nástrahy na každém kroku, ale ani v nucených úkrytech neztrácejí podporu oddaných přátel. Vypátrání a zničení viteálů je jedinou zárukou jejich vítězství. Harryho čeká rozhodující bitva s lordem Voldemortem, která rozhodne o osudu čarodějnického světa a školy v Bradavicích.;;;;;;;
Sense and Sensibility;Rozum a cit;Rozum a cit;USA / Velká Británie;Drama / Komedie / Romantický;1995;131;"Anglie počátku 19. století: krajina podobná parku, domácká sídla a v nich šťastní a laskaví lidé. Ale všechno není tak idylické, jak to vypadá. paní Dashwoodová se svými třemi dcerami - Elinor, Marianne a Margaret - se po Romány britské spisovatelky Jane Austenové (1775 - 1817) rozhodně nepatří mezi mrtvou literární klasiku. Jeden z jejích nejlepších románů, ""Rozum a cit"" (1811), se přičiněním vynikajícího tvůrčího týmu proměnil ve vtipnou, romantickou komedii o problémech s láskou, které nikdy nestárnou.manželově smrti musí vystěhovat právě z takového útulného sídla. Nový domov najde u vzdáleného příbuzného, starosti se dvěma dcerami na vdávání jí však zůstanou. Naštěstí najde v rozumné Elinor zalíbení bohatý a laskavý Edward Ferras, zatímco o vznětlivou Marianne projeví zájem ušlechtilý plukovník Brandon. Elinor však zjistí, že Edward je tajně zasnouben s jinou a Marianne před uzavřeným nápadníkem popřeje sluchu raději romantickému dvoření povětrného Willoughbyho. Vypadá to, že zlomená srdce už nikdo nenapraví - kdyby ovšem nešlo o ironickou komedii s dvojitým šťastným koncem.";;;;;;;
The King's Speech;Králova řeč;;Velká Británie / USA / Austrálie;Drama / Životopisný;2010;118;"Po smrti otce, anglického krále Jiřího V. (Michael Gambon) a skandální abdikaci krále Eduarda VIII. (Guy Pearce), je Bertie (Colin Firth), který celý život trpí vadou řeči, nečekaně korunovaný králem Jiřím VI. Země stojí na prahu 2. světové války a zoufale potřebuje silného vůdce. Proto králova žena Alžběta (Helena Bonham Carter), budoucí královna matka, domluví svému muži setkání s excentrickým terapeutem řeči Lionelem Loguem (Geoffrey Rush). Po tuhém začátku se tito dva ponoří do neobvyklého způsobu léčby a časem mezi nimi vznikne nenarušitelné pouto. S pomocí Loguea, rodiny, vlády a Winstona Churchilla (Timothy Spall) král překoná koktání a pronese zásadní řeč v rádiu, která inspiruje anglický lid a spojí jej ve válečné bitvě.";;;;;;;
Bridget Jones's Diary;Deník Bridget Jonesové;;Velká Británie / Irsko / Francie;Komedie / Romantický;2001;93;"Bridget Jonesová je jednatřicetiletá sympatická Angličanka, která svou osamělost zahání cigaretami, alkoholem a množstvím nezdravého jídla. Navíc má zvláštní talent na trapasy. Jeden z nich ji čeká na novoroční oslavě, kde se jí matka pokusí dohodit vhodného ženicha. Tentokrát to je protivný a snobský právník Mark Darcy, kterého zná z dětství. Nejenže je Bridget nesympatický, ale navíc se před ním ztrapní. To je poslední kapka, která ji vede k rozhodnutí omezit kouření, alkohol, nezdravé jídlo a také sny o mužích. Díky řadě drobných trapasů v nakladatelství, kde pracuje, si jí všimne její pohledný nadřízený Daniel Cleaver, který s ní začne otevřeně flirtovat. Z Daniela a Bridget se stanou milenci a žena prožívá chvilky opravdového štěstí. Toto období netrvá dlouho, protože Bridget zjistí, že ji přelétavý Daniel podvádí s kolegyní. Navíc se dozví, že její matka opustila otce. Bridget se nejprve doma opije, ale pak se rozhodne začít nový život.";;;;;;;
Bridget Jones: The Edge of Reason;Bridget Jonesová - S rozumem v koncích;;Velká Británie / Francie / Německo / Irsko;Komedie / Romantický;2004;108;Bridget je ze vztahu s dokonalým gentlemanem Markem Darcym nadšená a stále nemůže uvěřit, že konečně našla lásku a přestala být „single“. Mark je uznalý, ohleduplný a tolerantní. Jakmile se ale na scéně objeví Markova nová asistentka Rebecca, Bridgetiny růžové obláčky, na kterých se až dosud vznášela, náhle zešednou. Stále častější záchvaty sebepodceňování začnou negativně ovlivňovat jejich vzájemnou lásku. Podlehne zoufalství a hnána „dobrými radami“ svých přátel se s Markem nečekaně rozchází. Bridget se sice trápí, ale v práci se jí daří a dostává nabídku spolupracovat s bývalým šéfem, záletným ex-přítelem Danielem. Letí s ním do Thajska natáčet reportáž. Znovu zažije spoustu komických nedorozumění a trapných chvil, které se mohou stát jenom jí. Při zpáteční cestě je na letišti obviněna z pašování drog, její šance na propuštění z vězení jsou pramalé, ale naštěstí je tu ještě Mark Darcy...;;;;;;;
Bridget Jones's Baby;Dítě Bridget Jonesové;;Velká Británie / Francie / Irsko / USA;Komedie / Romantický;2016;118;"Utrpení největší smolařky v dějinách dosud neskončilo. Bridget Jonesová je stále bez chlapa. Jak název třetího dílu slavné série napovídá, tím hlavním malérem bude tentokrát neplánované těhotenství. Taková věc dokáže vykolejit i životem otřískanou Bridget, zvlášť když naprosto netuší, s kým počala. Jak se to rýmuje s faktem, že je stále bez chlapa? Celkem jednoduše. Stačí v doprovodu kolegyně navštívit odvázaný hudební festival a v jeho průběhu se vyspí s pohledným cizincem (Patrick Dempsey). A když se záhy na jedné společenské akci na vlastní tělo přesvědčí, že stará láska (Colin Firth) nerezaví, byť před pár lety definitivně skončila, je „štěstí"" hotovo. Protože jí s rozluštěním zapeklitého rébusu nepomůže ani lehce cynická gynekoložka (spoluscenáristka Emma Thompson), ocitne se Bridget ve velmi nezáviděníhodné situaci. Jak seriózní právník Mark Darcy, tak úspěšný provozovatel internetové seznamky Jack Quant se sice k situaci postaví jako praví chlapi, odhodlaní s Bridget a jejím potomkem vytvořit spořádanou rodinu, to ovšem netuší, že jejich šance na otcovství je přesně padesátiprocentní. Jak se blíží termín porodu, Bridget cítí, že bude muset s pravdou ven a hlavně že si bude muset vybrat, komu bude její dítě říkat „tatínku"". Normální člověk by poslal oba dva na testy otcovství. Jenže Bridget Jonesová není normální, ale výjimečná.";;;;;;;
Tři oříšky pro Popelku;;;Československo / Východní Německo;Pohádka;1973;75;Tři oříšky skrývají tajemství a Popelce umožní být jednou obratným lukostřelcem v zelené kamizole, prohánějícím se na koni, jindy neznámou princeznou, před jejíž krásou se i princi tají dech. Cestičku ke štěstí si Popelka najde s pomocí svých kouzelných oříšků a princ přes všechny nesnáze najde svou milou díky tak malému střevíčku, který na nožku padne jen Popelce.;;;;;;;
Princové jsou na draka;;;Československo;Pohádka / Hudební;1980;57;Legendární pohádka s oblíbenými písničkami Z. Svěráka a J. Uhlíře, které už zlidověly. Dnes již patří do zlatého fondu České televize. Dělání, dělání, všechny smutky zahání, dělání je lék. Zatímco: Statistika nuda je, má však cenné údaje, neklesejme na mysli, ona nám to vyčíslí. A taky: Hlupáku, najdu tě, tváříš se nadutě… Jestli vám tyto slogany a písničky nic neříkají, tak to jste opravdu ještě nikdy neviděli pohádku Princové jsou na draka. Teď už ale pojďme nahlédnout společně do pokoje malého Martina (J. Kaněra). Maminka (J. Bohdalová) synům oznámí, že budou mít nového tátu, a Martinovi se v noci zdá pohádkový sen o království, které je ohroženo zlým drakem. Naštěstí je tu ale právě chytrý Martin, který má pohádky doslova v malíčku. Poradí králi (V. Menšík), jak na draka – chtělo by to Honzu… Honza (J. Čenský) postaví pevnou zeď, zbaví království nebezpečného draka, zamiluje se do princezny (I. Andrlová) a všichni budou šťastni…;;;;;;;
It Follows;Neutečeš;Neutečieš;USA;Horor / Thriller / Mysteriózní;2014;100;Devatenáctiletá Jay se po příjemné chvilce na zadní sedačce auta se sympatickým mladíkem ocitne svázaná v opuštěné továrně. A mladík ji zpovzdálí opatrně pozoruje. Čeká na okamžik, kdy se objeví démoni. Na okamžik, kdy to pro něj celé skončí a pro ni naopak začne. Nekonečná noční můra. Tyto až příliš reálné přízraky jsou součástí prokletí, které si jeho oběti předávají sexem jako štafetový kolík. A pro Jay původně slibný večer nakonec skončí tím nejhorším možným způsobem. Její milenec ji uprostřed ulice vyhodí svázanou a polonahou z auta a navíc od něj převzala kletbu spojenou s pronásledováním a útoky přízraků, které s ní od této chvíle budou na každém kroku. Její život se smrskne na nekonečný a všudypřítomný strach, před kterým nemá kam uniknout. Jay se svých zjevení může zbavit jedině tak, že je předá někomu dalšímu. Podaří se jí uniknout?;$2,000,000;$21,947,454;18+;https://www.csfd.cz/film/371484-neuteces/galerie/;https://www.csfd.cz/film/371484-neuteces/videa/;;https://www.csfd.cz/film/371484-neuteces/prehled/
Zombieland;Země zombií;Zombieland;USA;Komedie / Horor / Sci-Fi / Dobrodružný;2009;88;Akční komedie Zombieland společnosti Columbia Pictures vypráví příběh dvou mužů, kteří se snaží přežít ve světě, ovládaném zombies. Columbus (Jesse Eisenberg) je obrovský zbabělec – ale jak se ukazuje, pokud máte hrůzu z toho, že vás sežerou zombies, dokáže vás strach udržet naživu. Tallahassee (Woody Harrelson) je drsňácký zabiják zombie, který je motivován touhou získat poslední čokoládovou tyčinku na světě. Když spojí své síly s Wichitou (Emma Stone) a Little Rock (Abigail Breslin), které také objevily vlastní způsoby, jak přežít nadvládu zombie, budou muset zjistit, co je horší: spoléhat se jeden na druhého nebo se nechat přemoci zombies.;$23,6milióna;$102,791,207;18+;https://www.csfd.cz/film/252091-zombieland/galerie/;https://www.csfd.cz/film/252091-zombieland/videa/;;https://www.csfd.cz/film/252091-zombieland/prehled/
Green Book;Zelená kniha;Zelená kniha;USA;Drama / Komedie / Road movie / Životopisný / Hudební;2018;130;"Bývalý vyhazovač a drobný podvodníček Tony „Pysk"" Vallelonga (Viggo Mortensen) má mezi newyorskými Italy pověst chlápka, který dokáže vyřešit každou šlamastyku. Slavný černošský klavírista Dr. Don Shirley (držitel Oscara® Mahershala Ali) si ho proto najímá jako řidiče a bodyguarda na turné po divokých státech amerického Jihu 60. let. Tony je horkokrevný, ne moc vzdělaný, ale o to mazanější. Nade vše miluje svoji ženu (Linda Cardellini) a smažená kuřata. Dr. Don je jeho protikladem: kultivovaný génius jemných mravů a pevných zásad. Aby společně překonali nástrahy, musí si k sobě oba tvrdohlaví muži najít cestu skrz předsudky a humorné přešlapy. Originální komedie Zelená kniha získala získala tři Oscary včetně sošky pro Nejlepší film. Režisér Peter Farrelly (Blbý a blbější# Já, mé druhé já a Irena# Něco na té Mary je) se inspiroval příběhem skutečného přátelství a natočil jeden z nejdojemnějších i nejvtipnějších filmů roku 2018.";$23miliónov;$144,930,049;12+;https://www.csfd.cz/film/600912-zelena-kniha/galerie/;https://www.csfd.cz/film/600912-zelena-kniha/videa/;;https://www.csfd.cz/film/600912-zelena-kniha/prehled/
Alien;Vetřelec;Votrelec;USA / Velká Británie;Horor / Sci-Fi;1979;117;Vesmírná loď Nostromo míří zpět na Zemi, astronauti spí. Náhle dojde k jejich automatickému probuzení – nikdo neví, co se děje, protože jsou ještě velmi daleko od cíle cesty. Prostřednictvím centrálního počítače zjistí, že přijímače zachytily signál SOS z blízké planety. Posádka je povinna věc vyšetřit. Vyslaný modul má s přistáním velké problémy. Přesto někteří na průzkum. V jeskynním komplexu objeví podivný organizmus, který vypadá jako kolonie vajíček. Počítač mateřské lodi mezitím dešifruje zprávu jako varování, ne jako volání o pomoc. Všichni jsou okamžitě odvoláni. Jenže jedno z vajíček se otevře a jakási hmota ve tvaru chobotnice se během setiny sekundy přisaje na přilbu jednoho z astronautů, přesněji řečeno na jeho obličej. Přes odpor Ripleyové, že je proti bezpečnostním předpisům brát na palubu cokoli neznámého, otevře Ash dveře a všechny vpustí. Po nějaké době je nalezen cizí organismus na podlaze, sám odpadl. Vypadá to, že se postižený těší dobrému zdraví. Při společném jídle však stolující zažijí hrůzné představení. Před jejich očima vyleze z astronautova břicha nějaký tvor, a než stačí kdokoli cokoli podniknout, bleskovou rychlostí zmizí v obrovských prostorách lodi. Začíná noční můra – monstrum postupně likviduje posádku a zdá se, že je nezničitelné…;;;18+;https://www.csfd.cz/film/8265-vetrelec/galerie/;;;https://www.csfd.cz/film/8265-vetrelec/filmoteka/
Aliens;Vetřelci;Votrelci;USA / Velká Británie;Sci-Fi / Thriller / Akční / Dobrodružný / Horor;1986;137;57 let po tvrdé zkoušce s mimozemským tvorem je Ellen Ripleyová v hyperspánku zachráněna dálkovým záchranným týmem. Dojde dokonce k vyšetřování, při kterém ji chtějí obvinit ze zničení tvora, o kterého vysoce postavení vojenští pohlaváři stáli. Nakonec je osvobozena, je jí ale nabídnuta účast na jiné výpravě: na planetě, odkud vetřelec pocházel, mezitím vznikla kolonie s lidskými obyvateli. Ti se nyní odmlčeli a chystá se mise složená z vojáků námořní pěchoty, kteří mají na planetu sestoupit a vyšetřit, co se tam stalo. Ripleyová se svými znalostmi nebezpečného tvora by se v ní uplatnila. Ta se rozhodne takto skončit s nočními můrami a nepříjemnými vzpomínkami na monstrum – vetřelce a s nabídkou souhlasí. Znovu se tedy ocitá na nehostinné planetě, kde nacházejí kolonii opuštěnou. Jediný, koho najdou, je malá vystrašená holčička. Brzy zjistí, že všichni obyvatelé se stali oběťmi vetřelce – ne však jednoho. Vetřelci se poněkud rozmnožili a planeta je jimi zcela obsazena…;;;16+;https://www.csfd.cz/film/1245-vetrelci/galerie/;;;https://www.csfd.cz/film/1245-vetrelci/filmoteka/
